user_id,username,full_name,department,role,location,hostname,device_id,status,hire_date,termination_date,manager_username
EMP10314,GIRINDRA.DHALIWAL46,Girindra Dhaliwal,research_development,Specialist,branch_office,VDR-10314,DEV-48986,terminated,2025-01-07 14:08:35,2025-04-21 15:06:37,manager344
EMP10102,  gaurangi.samra66  ,Gaurangi Samra,finance,Manager,remote,WS-10102,DEV-54548,terminated,26/04/2024 11:39,04-30-2024 11:18:18 AM,MANAGER405
EMP11437,waida.anand56,Waida Anand,operations,Administrator,branch_office,WS-11437,DEV76029,active,27/04/2026 19:55,NA,
EMP12959,LIBNI.LALA75,Libni Lala,sales,Engineer,work_from_home,VDR-12959,DEV19450,open,03-28-2022 11:25:36 PM,NA,manager860
EMP11221,  qabil.lanka74  ,Qabil Lanka,legal,Executive,regional_office,WS-11221,DEV32769,active,2022-09-15 09:06:54,,manager547
EMP12935,abha.naik17,Abha Naik,procurement,Executive,warehouse,WS-12935,dev47829,open,19/01/2022,NA,
EMP10705,bimala.raval96,Bimala Raval,marketing_dept,Specialist,remote,LPT-10705,DEV-92483,active,,,manager772
EMP12234,tristan.ravi53,Tristan Ravi,operations,Executive,warehouse,WS-12234,DEV-46572,on_leave,07/07/2026 20:26,NA,
EMP11973,edhitha.pathak81,Edhitha Pathak,research_development,Director,work_from_home,VDR-11973,dev 94430,terminated,,,NA
EMP11517,ANITA.DUTT25,Anita Dutt,human_resources,Engineer,branch_office,WS-11517,dev 75769,open,09/07/2026 04:27,not available,manager205
EMP12976,AAYUSH.KOSHY48,Aayush Koshy,sales_team,Engineer,data_center,VDR-12976,,open,1696359494,,
EMP12232,,Idika Sani,operations_dept,Analyst,,WS-12232,DEV43610,terminated,23/07/2025,2026-08-19T09:57:38,manager419
EMP10178,tanveer.ghose11,Tanveer Ghose,operations,Engineer,head_office,WS-10178,dev22987,inactive,2025-07-12 08:34:52,02/11/2025 19:08,manager393
EMP12030,urishilla.dugar5,Urishilla Dugar,customer_support,Consultant,regional_office,VDR-12030,dev 10085,open,1627829463,NA,manager911
EMP12926,  ronith.bhatti96  ,Ronith Bhatti,sales,Analyst,branch_office,VDR-12926,DEV-21629,open,18/02/2023 05:36,NA,
EMP10611,,Dhruv Cherian,procurement,Administrator,head_office,VDR-10611,DEV-85534,active,,,NA
EMP10679,ira.khanna17,Ira Khanna,information_technology,Trainee,regional_office,LPT-10679,,active,24-Sep-2020 13:32:29,,manager283
EMP10152,finn.vig49,Finn Vig,support,Engineer,warehouse,VDR-10152,DEV-97562,inactive,2020/08/11,,manager570
EMP12484,aahana.seth4,Aahana Seth,sales_dept,Engineer,head_office,VDR-12484,DEV-38543,active,,not available,  manager345  
EMP11025,darsh.patla51,Darsh Patla,finance,Manager,regional_office,LPT-11025,dev 98785,active,2023-10-01T01:50:28,NA,manager321
EMP10907,sneha.loke46,Sneha Loke,finance,Executive,work_from_home,VDR-10907,dev14190,inactive,2022-11-15T07:19:43,,manager675
EMP10254,wriddhish_arora70,Wriddhish Arora,finance,Consultant,head_office,LPT-10254,dev80419,active,2021-01-30 15:41:12,not available,manager328
EMP12416,harish.bhatia99,Harish Bhatia,legal,Engineer,head_office,,DEV87517,open,11/06/2026,not available,  manager695  
EMP12332,SHRAVYA.MAND51,Shravya Mand,people_team,Consultant,regional_office,,DEV-39132,terminated,30-Sep-2024 12:03:44,1770118679,unknown
EMP10346,dipta_oza8,Dipta Oza,legal,Officer,remote,VDR-10346,dev 75673,active,2023-08-09 00:03:30,not available,manager184
EMP10299,anmol.bhatt26,Anmol Bhatt,procurement,Officer,branch_office,VDR-10299,dev 82102,active,2026/03/09,NA,  manager825  
EMP12045,girik.gaba54,Girik Gaba,innovation,Officer,head_office,LPT-12045,,active,2022-09-12 21:06:42,,manager735
EMP11295,utkarsh.bakshi57,Utkarsh Bakshi,legal,Analyst,head_office,WS-11295,dev 63026,active,2021-07-25 19:18:38,not available,
EMP11357,nandini.buch11,Nandini Buch,compliance,Director,warehouse,LPT-11357,,open,07-28-2026 12:35:07 PM,NA,manager284
EMP11422,rishi.contractor33,Rishi Contractor,cs,Analyst,warehouse,WS-11422,dev 14394,open,2025-06-16 14:41:08,not available,  manager144  
EMP12482,chakrika.nagar94,Chakrika Nagar,mktg,Manager,work_from_home,WS-12482,DEV-25608,open,21-Jul-2022 22:31:07,,manager684
EMP10139,ISAAC.DUGAR28,Isaac Dugar,legal,Trainee,,,dev 54424,inactive,2023-05-23T19:28:38,18/10/2023 12:32,manager420
EMP12603,  gautam.dass68  ,Gautam Dass,finance,Trainee,branch_office,LPT-12603,dev 97646,open,2022-08-10T22:55:29,,  manager793  
EMP10246,rohan.dash48,Rohan Dash,legal,Officer,data_center,VDR-10246,DEV97044,inactive,25/06/2026 00:22,,
EMP10900,lohit.reddy93,Lohit Reddy,procurement,Trainee,branch_office,VDR-10900,dev17956,active,04/08/2023 02:56,,manager666
EMP12130,KRISHNA.KATA74,Krishna Kata,customer_care,Specialist,,VDR-12130,DEV68796,on_leave,1607889949,2024/09/24,unknown
EMP11681,ayushman.varty42,Ayushman Varty,sales_dept,Executive,,VDR-11681,dev 87635,active,2023-07-04 21:58:23,NA,manager392
EMP12334,bahadurjit.sridhar62,Bahadurjit Sridhar,sales,Consultant,,WS-12334,DEV27173,active,2021-11-04T05:38:50,not available,unknown
EMP10889,chanchal.tank46,Chanchal Tank,marketing,Specialist,head_office,VDR-10889,,active,,,manager905
EMP11268,krishna.babu43,Krishna Babu,innovation,Executive,head_office,VDR-11268,dev72206,active,1583427464,NA,manager370
EMP11926,chatresh.varty75,Chatresh Varty,finance,Analyst,warehouse,,dev80651,terminated,2021-01-27T19:05:07,04/07/2021 11:53,manager721
EMP11620,ira.choudhury44,Ira Choudhury,research_development,Officer,work_from_home,WS-11620,DEV68711,terminated,2025/09/08,17/01/2026 23:51,manager244
EMP10700,charles.brar31,Charles Brar,call_center,Administrator,,VDR-10700,dev 85543,open,2020-04-27T15:25:17,not available,manager821
EMP11061,  ekansh.ahuja25  ,Ekansh Ahuja,mktg,Director,data_center,VDR-11061,dev91844,active,05-31-2025 07:55:55 AM,,manager400
EMP10485,hardik.kuruvilla24,Hardik Kuruvilla,customer_support,Manager,work_from_home,VDR-10485,DEV-30889,active,,not available,manager457
EMP11356,jeet.tara32,Jeet Tara,legal,Specialist,regional_office,LPT-11356,,active,2022/06/10,NA,manager220
EMP12310,zashil.chaudhari74,Zashil Chaudhari,operations,Specialist,,VDR-12310,dev 21473,inactive,07-29-2021 09:47:57 PM,2026/08/24,MANAGER905
EMP12181,hemal.kohli58,Hemal Kohli,mktg,Officer,warehouse,VDR-12181,dev 74389,active,2025/04/12,,manager186
EMP10761,dayita.dasgupta48,Dayita Dasgupta,research_development,Analyst,work_from_home,,dev 19266,open,16/11/2025,NA,manager133
EMP10746,  oviya.acharya25  ,Oviya Acharya,people_team,Executive,,WS-10746,,active,13/09/2025 01:27,NA,unknown
EMP10321,kalpit.mody99,Kalpit Mody,research_development,Officer,,LPT-10321,dev 85066,open,1723625754,not available,NA
EMP12707,indira.pant51,Indira Pant,marketing,Engineer,regional_office,VDR-12707,dev56397,active,13-Nov-2024 12:26:12,NA,manager574
EMP10188,wakeeta.srivastava97,Wakeeta Srivastava,sales_dept,Administrator,,LPT-10188,dev95948,active,01-21-2021 05:31:44 PM,,
EMP10772,gagan_bhandari75,Gagan Bhandari,operations,Consultant,data_center,VDR-10772,dev 97274,active,31/08/2024 00:47,NA,manager411
EMP12496,ANUSHA.BAWA86,Anusha Bawa,supply_chain,Trainee,warehouse,WS-12496,DEV-67414,active,26-Feb-2023 10:56:13,,
EMP11451,arunima.dube10,Arunima Dube,operations,Trainee,regional_office,VDR-11451,DEV-86864,active,2025-03-05 14:42:50,,manager340
EMP12354,gagan.raman49,Gagan Raman,operations,Administrator,branch_office,LPT-12354,,active,01/12/2024,not available,MANAGER286
EMP10410,onveer.om63,Onveer Om,supply_chain,Specialist,data_center,LPT-10410,dev32570,open,2021-03-22 22:25:57,not available,manager797
EMP11727,bhavya.sem13,Bhavya Sem,information_technology,Consultant,branch_office,VDR-11727,dev35006,on_leave,2026-04-23 20:04:58,not available,unknown
EMP12852,warinder.wali82,Warinder Wali,research_development,Administrator,,LPT-12852,dev27337,terminated,04-19-2022 03:11:56 PM,1766970374,  manager876  
EMP12216,urvashi.handa11,Urvashi Handa,customer_support,Analyst,work_from_home,VDR-12216,dev58305,terminated,2020-08-14T07:19:06,2023/09/10,manager421
EMP11398,yauvani_chacko81,Yauvani Chacko,human_resources,Manager,,LPT-11398,dev 37221,terminated,2024/03/01,10-Jul-2024 02:35:24,manager731
EMP11361,inaya.sridhar38,Inaya Sridhar,human_resources,Consultant,work_from_home,WS-11361,DEV-87526,active,1606766568,,unknown
EMP11657,yadavi.balay60,Yadavi Balay,sales,Executive,,WS-11657,DEV51446,open,2026-06-29 18:40:46,,manager852
EMP10051,ekbal.malhotra95,Ekbal Malhotra,finance,Manager,,VDR-10051,dev97012,active,07/11/2022 09:26,not available,manager869
EMP11624,bishakha_ghose98,Bishakha Ghose,sales,Administrator,,,DEV-62984,active,2020/09/12,not available,manager603
EMP10063,IRA.TARA4,Ira Tara,people_team,Director,branch_office,,DEV-33819,open,,NA,manager565
EMP12789,  tamanna.kala64  ,Tamanna Kala,legal,Analyst,data_center,VDR-12789,DEV80063,active,2021/02/03,,NA
EMP12553,  tanish.kurian86  ,Tanish Kurian,information_technology,Specialist,remote,WS-12553,DEV-68468,inactive,01-14-2024 02:19:39 AM,,MANAGER123
EMP12530,wazir.das67,Wazir Das,human_resources,Officer,,LPT-12530,dev 81876,active,2025/07/18,NA,manager624
EMP11090,pahal.bajwa31,Pahal Bajwa,legal,Trainee,remote,VDR-11090,,on_leave,07-21-2025 04:04:10 AM,,  manager894  
EMP11465,brinda.chauhan94,Brinda Chauhan,customer_care,Specialist,data_center,LPT-11465,dev20031,active,28/04/2020 22:54,not available,  manager841  
EMP11896,URMI.PALL82,Urmi Pall,accounts,Engineer,data_center,WS-11896,,terminated,2025-08-19T16:55:56,2026-02-25 13:56:11,unknown
EMP10052,anirudh.ramanathan31,Anirudh Ramanathan,mktg,Engineer,,LPT-10052,dev 29313,active,1643561219,not available,unknown
EMP12807,damyanti.wali52,Damyanti Wali,sales,Executive,regional_office,LPT-12807,dev 24606,active,2023-06-06T22:34:43,NA,manager565
EMP12763,sanaya.kale52,Sanaya Kale,marketing_dept,Officer,warehouse,LPT-12763,DEV25578,active,2026-02-05 04:10:52,NA,manager610
EMP12551,warinder.jaggi19,Warinder Jaggi,sales_team,Administrator,remote,LPT-12551,dev 34073,active,15/10/2020,NA,manager115
EMP12864,pooja.choudhary68,Pooja Choudhary,marketing_dept,Trainee,remote,LPT-12864,DEV93489,active,,,manager864
EMP10544,harita.sura62,Harita Sura,human_resources,Administrator,head_office,WS-10544,dev 93055,inactive,2021-11-15T16:53:49,10-31-2023 01:43:49 AM,NA
EMP12948,AADI.MOHAN96,Aadi Mohan,operations_dept,Consultant,head_office,VDR-12948,DEV-37300,inactive,2022/04/22,2024/06/25,unknown
EMP10450,charles.mohanty2,Charles Mohanty,accounts,Executive,remote,WS-10450,,on_leave,,not available,NA
EMP12515,onveer.wason58,Onveer Wason,sales,Manager,,WS-12515,DEV60572,inactive,13/01/2022 19:36,14-Aug-2023 12:06:35,manager908
EMP10044,gopal.lala36,Gopal Lala,human_resources,Administrator,,VDR-10044,dev 76768,open,2024-07-23 23:08:34,,manager128
EMP11001,AARUSH.PRASHAD25,Aarush Prashad,procurement,Executive,work_from_home,VDR-11001,dev 81188,terminated,2020-01-27T12:19:55,21-Jun-2022 04:14:18,NA
EMP11831,,Chaaya Vasa,supply_chain,Engineer,branch_office,LPT-11831,DEV-66868,active,10-16-2022 12:54:27 PM,,unknown
EMP10829,chaman.goda59,Chaman Goda,legal,Specialist,warehouse,WS-10829,DEV-44946,open,1703920906,not available,manager424
EMP10598,ekalinga.walla33,Ekalinga Walla,information_technology,Consultant,branch_office,VDR-10598,,active,10/10/2021,not available,manager952
EMP10408,akshay.sarraf2,Akshay Sarraf,procurement,Specialist,warehouse,WS-10408,dev 24748,active,1617618864,not available,manager696
EMP12917,charita.mannan95,Charita Mannan,sales,Officer,remote,VDR-12917,dev 46720,active,,not available,manager621
EMP10256,naveen.bhagat32,Naveen Bhagat,research_development,Consultant,branch_office,WS-10256,,terminated,,08-Mar-2026 19:50:49,unknown
EMP12028,neha_devan64,Neha Devan,supply_chain,Officer,data_center,WS-12028,DEV81037,active,04-21-2025 02:03:42 PM,not available,manager546
EMP12303,lila_srinivasan31,Lila Srinivasan,finance,Administrator,,LPT-12303,DEV-57924,open,,,manager330
EMP11837,qabil.parikh37,Qabil Parikh,sales_dept,Specialist,work_from_home,LPT-11837,DEV54054,active,,not available,
EMP11702,HEMANG.BAKSHI78,Hemang Bakshi,customer_care,Engineer,work_from_home,VDR-11702,,on_leave,1738250389,not available,manager402
EMP12490,laban.sridhar64,Laban Sridhar,human_resources,Trainee,data_center,VDR-12490,,terminated,2025-01-14T19:14:46,2026-04-17 04:12:42,unknown
EMP11662,aishani.dugal36,Aishani Dugal,sales_dept,Manager,regional_office,,DEV68314,active,2020-05-02T08:15:44,,manager490
EMP10144,yashica_rao48,Yashica Rao,human_resources,Administrator,warehouse,LPT-10144,,inactive,,1784063134,manager773
EMP12090,vasatika.saha98,Vasatika Saha,research_development,Engineer,branch_office,VDR-12090,DEV38061,open,11-11-2024 06:45:00 PM,NA,manager489
EMP11292,harsh.sem7,Harsh Sem,sales_dept,Officer,branch_office,VDR-11292,DEV74920,active,2025-09-30 06:24:33,,manager258
EMP12155,  ekansh.soni57  ,Ekansh Soni,marketing,Director,,,DEV39684,inactive,,02-18-2026 02:53:11 PM,manager371
EMP10416,arunima.tata4,Arunima Tata,finance,Engineer,work_from_home,LPT-10416,DEV-17553,active,2023-11-19T03:16:47,NA,manager469
EMP10929,aarini.bora51,Aarini Bora,mktg,Specialist,data_center,VDR-10929,DEV65498,on_leave,11-10-2025 04:53:42 PM,,
EMP12022,,Zayyan Dayal,operations_dept,Analyst,warehouse,VDR-12022,dev 40120,active,11/08/2024,not available,manager836
EMP10170,nathaniel_prakash13,Nathaniel Prakash,cs,Officer,work_from_home,VDR-10170,dev 79013,active,1668236297,not available,unknown
EMP11125,indali.aggarwal48,Indali Aggarwal,mktg,Consultant,data_center,LPT-11125,dev 80310,inactive,12-03-2020 04:53:08 PM,NA,manager549
EMP10567,upadhriti.krishnan99,Upadhriti Krishnan,legal,Officer,work_from_home,LPT-10567,DEV23622,open,27-Apr-2021 10:05:44,NA,MANAGER499
EMP11590,mahika.som71,Mahika Som,operations,Director,work_from_home,WS-11590,DEV32551,inactive,03-Oct-2020 02:35:12,2025-12-31 04:54:19,manager924
EMP12673,victor.nagar6,Victor Nagar,finance,Consultant,regional_office,WS-12673,,inactive,,06-Jun-2022 09:29:39,unknown
EMP10134,sai.bedi96,Sai Bedi,human_resources,Trainee,data_center,WS-10134,dev77271,active,1699171081,,manager729
EMP11717,jatin.saha63,Jatin Saha,information_technology,Consultant,regional_office,LPT-11717,DEV86229,on_leave,,not available,manager317
EMP10642,umang.dhaliwal49,Umang Dhaliwal,operations,Director,warehouse,VDR-10642,dev84964,active,19/06/2024 20:01,not available,  manager821  
EMP11689,vaishnavi.kant81,Vaishnavi Kant,finance,Director,remote,LPT-11689,DEV-66935,inactive,2025-08-18T01:18:07,not available,manager288
EMP12745,prisha.sarkar30,Prisha Sarkar,cs,Officer,regional_office,,,inactive,06-17-2020 05:09:43 PM,13/05/2026,MANAGER858
EMP10554,shaurya.talwar44,Shaurya Talwar,operations_dept,Executive,data_center,WS-10554,DEV37594,open,2026-05-25 23:46:53,not available,manager974
EMP10900,lohit.reddy93,Lohit Reddy,procurement,Trainee,branch_office,VDR-10900,dev17956,active,04/08/2023 02:56,,manager666
EMP12174,onveer.bansal17,Onveer Bansal,sales,Manager,,VDR-12174,DEV-88056,terminated,18-Jan-2023 09:37:31,22/05/2026 18:40,
EMP11538,jai.chanda34,Jai Chanda,sales_team,Specialist,,WS-11538,DEV79778,active,2025-08-29 07:57:34,,manager941
EMP10999,yoshita.raval66,Yoshita Raval,cs,Manager,,,dev 39850,active,09/08/2020,,manager659
EMP10291,upasna_krishnamurthy12,Upasna Krishnamurthy,finance,Director,data_center,VDR-10291,DEV82710,active,2020/11/16,not available,MANAGER462
EMP11338,vansha_virk36,Vansha Virk,marketing,Manager,branch_office,VDR-11338,,active,2023-05-10T23:35:55,not available,manager380
EMP12247,TANISH.DASGUPTA22,Tanish Dasgupta,information_technology,Director,,VDR-12247,DEV-58621,terminated,,1787541478,manager185
EMP10781,,Rohan Wali,innovation,Consultant,head_office,WS-10781,DEV17213,active,2021/08/29,,manager327
EMP10443,tejas.raghavan27,Tejas Raghavan,information_technology,Administrator,data_center,VDR-10443,DEV-23235,open,18/04/2022,not available,MANAGER817
EMP12601,dominic.bawa78,Dominic Bawa,operations,Executive,,WS-12601,DEV85344,inactive,23/02/2020,not available,manager383
EMP12149,  teerth.chowdhury93  ,Teerth Chowdhury,legal,Analyst,,LPT-12149,DEV42587,active,2022-03-01 17:49:47,not available,  manager623  
EMP10449,jagvi.sengupta38,Jagvi Sengupta,operations,Consultant,data_center,VDR-10449,,open,,,NA
EMP11029,,Gaurangi Kibe,human_resources,Executive,regional_office,LPT-11029,,active,11-30-2020 01:29:17 PM,NA,NA
EMP11992,raksha.saini25,Raksha Saini,marketing,Director,warehouse,LPT-11992,DEV-41536,active,2026-07-30T01:51:31,,manager621
EMP12403,ANDREW.VASA6,Andrew Vasa,sales,Consultant,regional_office,,dev 64516,inactive,26/04/2026,05-10-2026 11:48:30 PM,MANAGER150
EMP12750,darika.parekh27,Darika Parekh,information_technology,Officer,,VDR-12750,dev 14121,active,1595443478,NA,manager511
EMP10000,  vrinda.dua82  ,Vrinda Dua,human_resources,Analyst,regional_office,WS-10000,DEV-42098,open,2026/04/07,NA,manager858
EMP11001,AARUSH.PRASHAD25,Aarush Prashad,procurement,Executive,work_from_home,VDR-11001,dev 81188,terminated,2020-01-27T12:19:55,21-Jun-2022 04:14:18,NA
EMP11048,quincy.lata26,Quincy Lata,finance,Engineer,head_office,LPT-11048,,active,1678300866,,  manager525  
EMP10270,upkaar.doshi48,Upkaar Doshi,operations,Director,head_office,VDR-10270,DEV39002,active,2020-02-20 09:26:36,NA,manager698
EMP10736,jackson.cherian13,Jackson Cherian,research_development,Specialist,branch_office,VDR-10736,dev18383,inactive,26-Nov-2020 08:37:44,,
EMP10298,ARADHANA.YOGI41,Aradhana Yogi,marketing,Trainee,warehouse,LPT-10298,,open,05-May-2023 19:22:01,NA,  manager677  
EMP10032,  lila.nadkarni27  ,Lila Nadkarni,operations_dept,Engineer,remote,WS-10032,dev 27154,active,2022-07-21 01:24:12,NA,manager869
EMP12498,lekha.kapoor10,Lekha Kapoor,innovation,Specialist,data_center,VDR-12498,dev80623,active,20-Aug-2025 13:08:32,,NA
EMP10014,ridhi.saini2,Ridhi Saini,people_team,Officer,work_from_home,WS-10014,DEV94012,open,2022/06/30,not available,  manager564  
EMP10093,pahal.roy74,Pahal Roy,procurement,Analyst,work_from_home,VDR-10093,dev 45325,active,28-Jun-2026 21:31:52,,NA
EMP10411,shivani.pillay89,Shivani Pillay,legal,Analyst,data_center,WS-10411,DEV41139,open,2024-01-16 10:50:11,,NA
EMP11159,adya.shetty2,Adya Shetty,people_team,Officer,regional_office,WS-11159,,open,,,unknown
EMP12362,kamala.nazareth82,Kamala Nazareth,procurement,Consultant,branch_office,VDR-12362,dev 59827,active,01-Oct-2021 16:10:14,NA,manager479
EMP12819,chakradhar.nagi26,Chakradhar Nagi,research_development,Consultant,warehouse,WS-12819,DEV88309,open,14-Dec-2020 07:49:07,not available,manager944
EMP10149,girik.bhatia28,Girik Bhatia,cs,Manager,remote,WS-10149,DEV24534,active,1759966567,not available,manager639
EMP11600,gagan.mitter67,Gagan Mitter,procurement,Director,regional_office,VDR-11600,dev 60738,open,04/01/2026 18:47,NA,NA
EMP11044,mugdha.khare82,Mugdha Khare,sales,Administrator,work_from_home,WS-11044,DEV20487,on_leave,22-Jan-2023 04:22:20,,manager271
EMP12153,  abdul.deep62  ,Abdul Deep,human_resources,Officer,branch_office,VDR-12153,,active,15/11/2024 23:28,NA,NA
EMP10495,  tanmayi.thaman1  ,Tanmayi Thaman,procurement,Manager,work_from_home,VDR-10495,dev86756,active,2020-08-13 12:39:41,NA,manager614
EMP10332,,Ijaya Palla,procurement,Trainee,work_from_home,WS-10332,dev 99463,open,2020-05-22T17:45:11,NA,MANAGER902
EMP12788,utkarsh.vora38,Utkarsh Vora,marketing_dept,Administrator,work_from_home,WS-12788,dev 47566,active,01/01/2020,,
EMP12066,  david.sampath85  ,David Sampath,customer_care,Engineer,regional_office,LPT-12066,dev61445,active,2021-07-18 08:59:32,,MANAGER223
EMP11874,dayita.rout5,Dayita Rout,research_development,Engineer,,VDR-11874,dev 56585,active,,NA,
EMP10756,mugdha.shah75,Mugdha Shah,sales,Specialist,,VDR-10756,dev 10665,active,17-May-2020 09:35:43,,manager581
EMP10798,udarsh.korpal53,Udarsh Korpal,operations,Executive,,LPT-10798,dev 30257,active,2021-08-08T09:22:24,NA,NA
EMP12274,praneel.sastry13,Praneel Sastry,supply_chain,Executive,head_office,WS-12274,DEV-78738,blocked,10/06/2024 14:04,2026-07-09T23:05:36,manager802
EMP10203,samaksh.subramanian60,Samaksh Subramanian,call_center,Consultant,branch_office,VDR-10203,,active,13/07/2026 09:56,,NA
EMP10463,ISHA.PADMANABHAN86,Isha Padmanabhan,innovation,Consultant,,LPT-10463,DEV39218,inactive,1666950022,2025-06-17 03:55:28,manager833
EMP12851,kamala.raman22,Kamala Raman,supply_chain,Officer,work_from_home,WS-12851,dev27730,active,1600603977,,MANAGER138
EMP12749,darika.mandal6,Darika Mandal,human_resources,Trainee,,VDR-12749,dev 30457,active,07-15-2022 10:07:37 PM,NA,manager149
EMP11583,hemang.bansal35,Hemang Bansal,human_resources,Trainee,warehouse,VDR-11583,DEV84136,active,31/05/2024 08:58,NA,
EMP10555,vrishti.lala52,Vrishti Lala,marketing,Trainee,branch_office,VDR-10555,DEV-27188,on_leave,01/11/2025,not available,manager202
EMP10174,ridhi.iyer25,Ridhi Iyer,operations,Specialist,data_center,WS-10174,,active,2024/04/11,not available,  manager265  
EMP10289,jonathan.narayanan92,Jonathan Narayanan,human_resources,Manager,remote,LPT-10289,DEV-59807,active,1747998273,not available,manager498
EMP10120,lakshit.mand42,Lakshit Mand,compliance,Executive,branch_office,LPT-10120,DEV-80701,terminated,10/02/2023 16:18,04-09-2024 12:52:14 AM,
EMP12839,  lipika.parsa25  ,Lipika Parsa,finance,Specialist,regional_office,WS-12839,dev 37879,inactive,,29/07/2024 22:10,manager140
EMP10847,vidhi.krishna41,Vidhi Krishna,call_center,Director,data_center,VDR-10847,,on_leave,,,manager832
EMP12699,edhitha.balasubramanian33,Edhitha Balasubramanian,finance,Analyst,head_office,LPT-12699,dev 31302,active,2022-04-29T19:38:57,not available,manager683
EMP10432,  omya.gole7  ,Omya Gole,finance,Executive,branch_office,WS-10432,dev63633,on_leave,11-22-2023 02:59:56 PM,NA,  manager983  
EMP12969,ekanta.deshmukh53,Ekanta Deshmukh,mktg,Consultant,branch_office,LPT-12969,DEV-49882,active,05-26-2023 09:51:57 PM,NA,manager923
EMP11317,ganga.goswami90,Ganga Goswami,human_resources,Specialist,data_center,WS-11317,dev95620,active,2022-11-16T06:28:48,not available,manager305
EMP11200,xiti.sem41,Xiti Sem,operations_dept,Specialist,data_center,LPT-11200,dev 72419,active,2023-11-13T07:50:27,not available,manager259
EMP10393,aarini.deep10,Aarini Deep,information_technology,Administrator,head_office,WS-10393,dev 44226,on_leave,18/08/2020,not available,manager484
EMP12031,,Rohan Biswas,operations_dept,Analyst,regional_office,WS-12031,DEV13918,active,2023-01-24T14:11:06,not available,
EMP11800,farhan.sastry34,Farhan Sastry,research_development,Executive,branch_office,LPT-11800,DEV-86741,active,02-04-2025 08:31:23 AM,NA,manager300
EMP11721,FREDERICK.VASA15,Frederick Vasa,information_technology,Director,work_from_home,LPT-11721,DEV-36946,active,06-Nov-2024 13:42:48,,manager405
EMP10192,ridhi.bala57,Ridhi Bala,operations,Trainee,head_office,,,open,2023-09-13 07:30:52,NA,manager910
EMP10266,abhimanyu.gade25,Abhimanyu Gade,procurement,Officer,branch_office,WS-10266,dev37379,terminated,2022-10-31T11:37:06,2022-11-24T07:18:01,manager294
EMP12692,dalaja.sura56,Dalaja Sura,operations,Manager,remote,VDR-12692,dev17492,open,1703268621,not available,MANAGER781
EMP10805,udarsh.kannan13,Udarsh Kannan,people_team,Specialist,branch_office,VDR-10805,dev 36217,open,28/12/2022,,MANAGER249
EMP10331,janaki.hegde46,Janaki Hegde,human_resources,Officer,data_center,LPT-10331,dev66314,blocked,17/03/2024 00:37,05-31-2025 01:44:10 PM,manager691
EMP10528,,Luke Nagi,human_resources,Administrator,warehouse,VDR-10528,dev63562,open,17/01/2020 23:49,,manager908
EMP11225,tanay.viswanathan59,Tanay Viswanathan,operations,Executive,,VDR-11225,dev 39065,active,,NA,NA
EMP10801,ansh.brahmbhatt77,Ansh Brahmbhatt,cs,Consultant,branch_office,VDR-10801,DEV-49935,active,2021-01-03T11:13:30,,manager977
EMP11089,,Pahal Lata,customer_support,Consultant,warehouse,WS-11089,DEV-29473,active,2023-06-09 03:58:33,NA,manager221
EMP10764,rachana.madan60,Rachana Madan,procurement,Analyst,remote,WS-10764,,open,29-Dec-2025 23:11:23,,
EMP10218,jagat_dasgupta98,Jagat Dasgupta,customer_support,Administrator,,VDR-10218,dev99181,open,2021-02-03T17:50:14,,
